#{"t_start": 1720183358.0410326, "env_id": "None"}
r,l,t
-0.858305,128,151.459882
-4.570337,128,151.971205
-0.594461,128,152.481963
-2.489672,128,152.941867
-2.776507,128,153.391316
-0.734557,128,153.861614
-2.570178,128,154.321728
-1.685773,128,154.776284
-0.183768,128,155.196568
-0.23898,128,155.610518
-0.262115,128,156.043843
-0.268571,128,156.441197
-0.263674,128,156.861505
-0.364016,128,157.274905
-0.368304,128,157.689555
-0.442158,128,158.0984
-0.409504,128,158.546223
0.459824,128,158.984753
-0.583806,128,159.385854
-0.663351,128,159.802396
-0.624052,128,160.203735
-0.655334,128,160.689648
-0.372103,128,161.222222
-0.558201,128,161.675277
-0.482567,128,162.107721
-0.553884,128,162.54625
-1.781298,128,162.963013
-0.096515,128,163.392065
-1.062093,128,163.839029
-0.684905,128,164.335494
0.045904,128,164.774424
-0.604437,128,165.209698
0.035229,128,165.678342
-0.849189,128,166.134161
-1.478861,128,166.605841
-0.985701,128,167.087474
-0.535618,128,167.567362
-1.617128,128,168.020955
-9.697983,128,168.49051
-0.761601,128,168.96206
-1.036106,128,169.415483
-0.145598,128,169.897269
-0.44554,128,170.399395
-0.08794,128,170.899137
-0.220202,128,171.38279
-0.203428,128,171.864634
-1.38552,128,172.346243
-1.918801,128,172.837878
-3.692141,128,173.319603
-3.692363,128,173.791103
-0.076719,128,174.280934
-0.059888,128,174.754405
-0.178105,128,175.236288
-0.67549,128,175.738009
-0.153911,128,176.217642
-1.663855,128,176.701276
-1.523288,128,177.17086
-0.922218,128,177.66458
-0.057175,128,178.184202
-0.485551,128,178.647746
-0.296236,128,179.119379
-0.189974,128,179.601315
-0.228978,128,180.072989
-0.080509,128,180.544584
-2.493692,128,181.046355
-1.236128,128,181.54812
-0.616747,128,182.019721
-1.191727,128,182.591816
-0.169412,128,183.083642
-0.244005,128,183.545198
-0.183366,128,184.024752
-0.181947,128,184.508524
-1.158711,128,184.970239
-0.436845,128,185.441798
-0.836357,128,185.953726
-0.69465,128,186.475454
-0.899722,128,186.977196
-0.163361,128,187.498898
-1.082619,128,187.970581
-0.208844,128,188.460276
-0.188523,128,188.934021
-0.073962,128,189.415741
-2.162649,128,189.907837
-2.99315,128,190.399417
-2.053413,128,190.881121
-0.711693,128,191.352735
-2.080344,128,191.814368
-0.094229,128,192.325913
-1.79778,128,192.856288
-0.228949,128,193.374766
-0.793657,128,193.911339
-0.666314,128,194.574505
-1.109831,128,195.099374
-0.087299,128,195.632591
-2.56981,128,196.133888
-0.269695,128,196.669076
-0.404166,128,197.162931
-0.062575,128,197.681222
-0.107298,128,198.168436
-1.072189,128,198.669098
-6.220029,128,199.192279
-2.299643,128,199.702408
-4.623025,128,200.215552
-2.469944,128,200.741954
-0.750677,128,201.300437
-0.980969,128,201.832561
-1.279021,128,202.319663
-0.161806,128,202.889298
-0.469494,128,203.375762
-0.128901,128,203.868027
-0.116276,128,204.359147
-1.599973,128,204.845868
-0.792104,128,205.385075
-1.809153,128,205.880349
-0.904332,128,206.365481
-0.427336,128,206.857092
-0.745785,128,207.347212
-1.455358,128,207.852527
-0.784168,128,208.341766
-3.044662,128,208.839326
-1.380327,128,209.31725
-0.782887,128,209.79351
-0.430627,128,210.279864
-0.712071,128,210.750941
-0.877357,128,211.237298
-1.563522,128,211.724507
-4.86773,128,212.238558
-0.365205,128,212.790545
-0.438371,128,213.530421
-0.462159,128,214.126712
-0.585497,128,214.65993
-2.009785,128,215.170634
-0.578342,128,215.705918
-5.08267,128,216.24015
-0.431702,128,216.737357
-1.144272,128,217.243732
-1.213174,128,217.762806
-2.806979,128,218.2582
-0.287659,128,218.778276
-9.733592,128,219.281842
-2.137361,128,219.769627
-2.291887,128,220.298537
-9.360527,128,220.802377
-0.576495,128,221.329486
-0.590563,128,221.846822
-1.681314,128,222.427014
-0.547674,128,223.034497
-0.408163,128,223.537802
-0.211834,128,224.056582
-0.153197,128,224.55111
-2.335745,128,225.085283
-0.083603,128,225.619541
-0.079397,128,226.110753
-0.810454,128,226.58941
-0.316356,128,227.094329
-0.234055,128,227.582309
-2.431248,128,228.083375
-2.66806,128,228.578385
-6.593068,128,229.160578
-0.09314,128,229.66555
-1.640873,128,230.153376
-0.976849,128,230.625601
-0.805499,128,231.096767
-1.392663,128,231.619179
-0.110089,128,232.111305
-0.077714,128,232.590377
-0.028443,128,233.118438
-4.761008,128,233.673708
-1.150922,128,234.17515
-0.131656,128,234.689381
-0.004157,128,235.211382
-0.127309,128,235.732892
-2.193686,128,236.257978
-1.214707,128,236.784733
-3.030788,128,237.309333
-3.46045,128,237.921333
-0.055763,128,238.444184
-1.216168,128,238.929228
-1.275173,128,239.431219
-6.802737,128,239.928359
-1.084217,128,240.4235
-0.643552,128,240.921443
-11.663908,128,241.424861
0.592279,128,241.95521
-5.059426,128,242.496015
-1.019742,128,242.988521
-0.180249,128,243.506934
-0.537936,128,244.03508
-0.817922,128,244.536807
-1.639135,128,245.057154
0.017981,128,245.581176
-0.15516,128,246.070885
-0.131357,128,246.582545
-0.22626,128,247.28909
-0.743536,128,247.888252
-0.209525,128,248.781448
-0.171455,128,249.631001
-0.061113,128,250.343664
-0.18779,128,250.949197
-0.045521,128,251.559196
0.013337,128,252.136197
-0.07556,128,252.6662
-0.067077,128,253.2082
-0.388281,128,253.755717
-0.053536,128,254.295719
-0.114624,128,254.797722
-0.212399,128,255.333041
-0.259342,128,255.86631
-0.148595,128,256.411313
-0.286027,128,256.93384
-0.416485,128,257.448995
-0.226243,128,257.957176
-1.877018,128,258.467883
-0.15204,128,259.005952
-0.069132,128,259.52228
-0.148238,128,260.028263
-0.131051,128,260.650534
-0.098702,128,261.221074
-0.126514,128,261.754479
-0.129208,128,262.269645
-0.111826,128,262.759449
-1.027333,128,263.254206
-3.214985,128,263.753406
-0.512307,128,264.302322
-0.082833,128,264.796356
-0.074438,128,265.282395
-1.372978,128,265.766171
-1.383862,128,266.262347
-1.577348,128,266.745256
-1.288122,128,267.238856
-2.032523,128,267.755829
-0.555443,128,268.260984
-0.655409,128,268.745167
-1.391752,128,269.252452
-4.683998,128,269.782453
-0.30092,128,270.299695
-0.427543,128,270.826323
0.696077,128,271.506185
-2.120071,128,272.002994
-0.031972,128,272.536004
-0.100874,128,273.033514
0.296618,128,273.55743
-0.132092,128,274.05536
-0.171252,128,274.747958
-2.048588,128,275.771033
-1.642661,128,276.862038
-2.409263,128,277.93504
-14.468637,128,278.827042
-0.397287,128,279.542043
-1.136133,128,280.073042
-11.076962,128,280.588392
-3.319215,128,281.079383
-0.978332,128,281.577382
-19.487411,128,282.076329
-1.299377,128,282.562378
-0.565538,128,283.081633
-1.669703,128,283.640268
-0.504298,128,284.287969
0.001095,128,284.905201
-0.093753,128,285.458692
-14.781202,128,286.065016
-2.240052,128,286.675575
0.068666,128,287.372761
-1.555361,128,288.001766
-1.402198,128,288.709767
-4.96846,128,289.319853
-2.364766,128,289.811558
-0.103027,128,290.304189
-0.51339,128,290.823151
-0.109974,128,291.323745
-0.176648,128,291.827395
-5.839158,128,292.364891
-1.040026,128,292.864209
-0.830563,128,293.355872
-0.269115,128,293.854662
-0.120068,128,294.355675
-13.155234,128,294.882531
-0.698399,128,295.427164
-0.323382,128,295.967667
-0.058088,128,296.469966
-0.059799,128,296.963469
-0.004189,128,297.455624
-0.030897,128,297.951154
-0.137047,128,298.467716
-0.061534,128,299.172437
-1.641672,128,299.660531
-0.160049,128,300.163322
-0.178051,128,300.662996
-0.098631,128,301.16749
-3.462278,128,301.662688
-0.90389,128,302.173679
-1.425146,128,302.695781
-1.66404,128,303.221016
-1.154596,128,303.740124
-0.531854,128,304.250513
-1.073528,128,304.772558
-1.139662,128,305.2947
-0.096891,128,305.788723
-0.228372,128,306.28851
-0.61418,128,306.773549
-0.847964,128,307.249657
-0.876148,128,307.751875
-2.847439,128,308.250989
-0.616067,128,308.788143
-6.51491,128,309.295482
-1.317378,128,309.779347
-0.120982,128,310.283476
-19.980087,128,310.805671
-1.059153,128,311.30459
-1.640016,128,311.801593
-2.719568,128,312.329686
-5.809697,128,312.847351
-0.873597,128,313.364487
-0.902692,128,313.888906
-1.575333,128,314.418162
-5.461169,128,314.919443
-4.532077,128,315.423654
-0.656596,128,315.962713
-1.94189,128,316.51393
-0.411806,128,317.029011
-1.488466,128,317.54958
-1.846172,128,318.069751
-1.320636,128,318.576648
-3.821208,128,319.121086
-1.321537,128,319.640113
-2.811378,128,320.180275
-1.197552,128,320.687922
-3.740585,128,321.199646
-3.139017,128,321.690202
-0.169341,128,322.197492
-0.14249,128,322.702262
-3.981806,128,323.219284
-1.580238,128,323.761174
-1.800297,128,324.275171
-0.678709,128,324.847399
-0.190936,128,325.375494
-0.07924,128,325.877192
-0.236627,128,326.40966
-1.420828,128,326.915618
-0.833616,128,327.413893
-0.569593,128,327.915276
-2.057096,128,328.448585
-0.768013,128,328.963096
-1.240245,128,329.525517
-11.893537,128,330.072577
-0.335549,128,330.580439
-0.841675,128,331.074467
-1.475887,128,331.597951
-0.043913,128,332.094867
-1.713237,128,332.600887
-1.052788,128,333.108439
-0.05953,128,333.631309
-1.009446,128,334.204515
-0.275527,128,334.745281
-1.97576,128,335.28978
-0.380705,128,335.817057
-0.381859,128,336.352034
-0.149854,128,336.879029
-0.120901,128,337.38415
-0.354347,128,337.914147
-0.360165,128,338.438205
-0.726026,128,338.953829
-0.159597,128,339.461719
-2.548049,128,339.990862
-2.127658,128,340.53099
-1.011218,128,341.065992
-0.317963,128,341.578413
-17.86141,128,342.105402
-5.591249,128,342.638201
-0.362859,128,343.16838
-32.812291,128,343.686761
-2.150565,128,344.202839
-0.085671,128,344.717108
-0.699576,128,345.211322
-0.111046,128,345.714481
-0.101802,128,346.224638
-0.658396,128,346.729638
-0.076408,128,347.250688
-0.183436,128,347.755128
-0.11527,128,348.263212
-3.320457,128,348.775836
-0.134951,128,349.302122
-0.245233,128,349.823352
-0.153055,128,350.333529
-0.146955,128,350.834336
