Date;Value
2018/05/04;2278.11687
2018/05/07;2288.92136
2018/05/08;2299.27919
2018/05/09;2313.8778
2018/05/10;2325.97214
2018/05/11;2324.43716
2018/05/14;2324.64337
2018/05/15;2325.8279
2018/05/16;2344.59307
2018/05/17;2344.37432
2018/05/18;2343.50177
2018/05/21;2356.78425
2018/05/22;2352.17786
2018/05/23;2357.74104
2018/05/24;2349.47934
2018/05/25;2357.13364
2018/05/28;2360.67645
2018/05/29;2345.90439
2018/05/30;2349.7527
2018/05/31;2332.81324
2018/06/01;2352.56414
2018/06/04;2362.41902
2018/06/05;2364.62516
2018/06/06;2360.36228
2018/06/07;2353.42886
2018/06/08;2361.57988
2018/06/11;2361.04074
2018/06/12;2366.12767
2018/06/13;2363.06686
2018/06/14;2387.03536
2018/06/15;2382.96661
2018/06/18;2373.27491
2018/06/19;2364.23267
2018/06/20;2369.70418
2018/06/21;2349.53588
2018/06/22;2354.1463
2018/06/25;2312.9287
2018/06/26;2318.97723
2018/06/27;2318.14334
2018/06/28;2323.21153
2018/06/29;2319.44587
2018/07/02;2322.72116
2018/07/03;2314.0764
2018/07/04;2315.10255
2018/07/05;2316.96665
2018/07/06;2324.2348
2018/07/09;2345.11782
2018/07/10;2357.77572
2018/07/11;2336.8483
2018/07/12;2358.38016
2018/07/13;2367.34422
2018/07/16;2356.22759
2018/07/17;2366.63888
2018/07/18;2378.8878
2018/07/19;2376.12751
2018/07/20;2363.69097
2018/07/23;2364.48738
2018/07/24;2378.74027
2018/07/25;2397.01096
2018/07/26;2401.3381
2018/07/27;2398.86447
2018/07/30;2379.24552
2018/07/31;2384.97294
2018/08/01;2387.32473
2018/08/02;2392.97281
2018/08/03;2407.10447
2018/08/06;2415.37994
2018/08/07;2420.30294
2018/08/08;2417.63966
2018/08/09;2422.31916
2018/08/10;2423.53783
2018/08/13;2409.35482
2018/08/14;2429.2613
2018/08/15;2416.19465
2018/08/16;2414.50823
2018/08/17;2418.33319
2018/08/20;2423.10908
2018/08/21;2414.13506
2018/08/22;2403.6617
2018/08/23;2401.79663
2018/08/24;2403.71308
2018/08/27;2417.38966
2018/08/28;2411.66683
2018/08/29;2423.82649
2018/08/30;2419.61449
2018/08/31;2417.93918
2018/09/03;2415.22022
2018/09/04;2417.95304
2018/09/05;2389.61471
2018/09/06;2379.8432
2018/09/07;2384.41834
2018/09/10;2382.85686
2018/09/11;2389.75987
2018/09/12;2386.75191
2018/09/13;2389.92842
2018/09/14;2398.61529
2018/09/17;2386.001
2018/09/18;2396.62256
2018/09/19;2410.85927
2018/09/20;2412.67737
2018/09/21;2419.18943
2018/09/24;2404.3606
2018/09/25;2406.68856
2018/09/26;2411.87881
2018/09/27;2426.99634
2018/09/28;2434.39984
2018/10/01;2444.62789
2018/10/02;2443.39967
2018/10/03;2447.14802
2018/10/04;2427.35531
2018/10/05;2413.3194
2018/10/08;2412.59859
2018/10/09;2407.98145
2018/10/10;2345.14532
2018/10/11;2287.02271
2018/10/12;2310.64575
2018/10/15;2295.50498
2018/10/16;2335.18946
2018/10/17;2344.366
2018/10/18;2324.94652
2018/10/19;2321.56888
2018/10/22;2320.22862
2018/10/23;2296.67182
2018/10/24;2263.37799
2018/10/25;2281.29296
2018/10/26;2256.56846
2018/10/29;2246.40622
2018/10/30;2273.28154
2018/10/31;2309.69919
2018/11/01;2318.11135
2018/11/02;2325.71565
2018/11/05;2324.55321
2018/11/06;2331.19616
2018/11/07;2355.08275
2018/11/08;2363.18295
2018/11/09;2355.30745
2018/11/12;2339.52361
2018/11/13;2330.63412
2018/11/14;2314.3922
2018/11/15;2326.30376
2018/11/16;2318.21639
2018/11/19;2285.86346
2018/11/20;2257.68396
2018/11/21;2268.94369
2018/11/22;2266.32398
2018/11/23;2268.52097
2018/11/26;2295.23261
2018/11/27;2307.45282
2018/11/28;2342.94614
2018/11/29;2328.26437
2018/11/30;2346.67911
2018/12/03;2372.5598
2018/12/04;2321.36714
2018/12/05;2311.66906
2018/12/06;2279.08126
2018/12/07;2253.51707
2018/12/10;2237.84557
2018/12/11;2250.17546
2018/12/12;2267.7178
2018/12/13;2272.01676
2018/12/14;2246.44534
2018/12/17;2210.07048
2018/12/18;2197.30848
2018/12/19;2172.98505
2018/12/20;2141.84229
2018/12/21;2113.8382
2018/12/24;2080.86893
2018/12/25;2071.62454
2018/12/26;2127.63005
2018/12/27;2142.1932
2018/12/28;2148.05358
2018/12/31;2162.76137
2019/01/01;2162.8699
2019/01/02;2171.75721
2019/01/03;2135.66581
2019/01/04;2187.12486
2019/01/07;2196.81414
2019/01/08;2215.85189
2019/01/09;2223.17316
2019/01/10;2228.95088
2019/01/11;2237.53774
2019/01/14;2228.43417
2019/01/15;2253.955
2019/01/16;2265.49529
2019/01/17;2277.39945
2019/01/18;2307.88677
2019/01/21;2308.27009
2019/01/22;2286.02034
2019/01/23;2283.04956
2019/01/24;2293.49158
2019/01/25;2306.70879
2019/01/28;2285.08699
2019/01/29;2290.46968
2019/01/30;2311.28783
2019/01/31;2323.31095
2019/02/01;2325.74987
2019/02/04;2341.38159
2019/02/05;2359.64875
2019/02/06;2361.1596
2019/02/07;2343.41091
2019/02/08;2341.03047
2019/02/11;2352.82354
2019/02/12;2373.73191
2019/02/13;2384.33503
2019/02/14;2381.79141
2019/02/15;2400.97023
2019/02/18;2399.87504
2019/02/19;2397.50977
2019/02/20;2405.91676
2019/02/21;2400.9623
2019/02/22;2413.85394
2019/02/25;2419.76639
2019/02/26;2416.84646
2019/02/27;2411.43656
2019/02/28;2401.90476
2019/03/01;2412.62848
2019/03/04;2421.66181
2019/03/05;2422.57226
2019/03/06;2411.5556
2019/03/07;2409.91667
2019/03/08;2394.89086
2019/03/11;2424.06173
2019/03/12;2424.96085
2019/03/13;2429.69274
2019/03/14;2431.42173
2019/03/15;2442.30582
2019/03/18;2452.46509
2019/03/19;2453.76457
2019/03/20;2443.45161
2019/03/21;2458.0375
2019/03/22;2439.14275
2019/03/25;2419.02493
2019/03/26;2445.27883
2019/03/27;2442.93779
2019/03/28;2448.2536
2019/03/29;2466.3438
2019/04/01;2496.05076
2019/04/02;2503.16374
2019/04/03;2508.49317
2019/04/04;2511.48741
2019/04/05;2518.80093
2019/04/08;2514.06511
2019/04/09;2503.66439
2019/04/10;2514.19846
2019/04/11;2506.94464
2019/04/12;2510.12376
2019/04/15;2512.76548
2019/04/16;2518.75519
2019/04/17;2516.90329
2019/04/18;2528.10416
2019/04/19;2528.28598
2019/04/22;2526.10887
2019/04/23;2550.61194
2019/04/24;2544.43579
2019/04/25;2552.70733
2019/04/26;2557.71354
2019/04/29;2560.58666
2019/04/30;2553.61005
2019/05/01;2537.57646
2019/05/02;2541.31899
2019/05/03;2558.63833
2019/05/06;2540.63768
2019/05/07;2508.78267
2019/05/08;2500.1517
2019/05/09;2475.32026
2019/05/10;2481.01735
2019/05/13;2436.62394
2019/05/14;2455.3273
2019/05/15;2469.1413
2019/05/16;2491.08477
2019/05/17;2482.37316
2019/05/20;2469.15038
2019/05/21;2480.14346
2019/05/22;2480.09302
2019/05/23;2453.20028
2019/05/24;2450.38282
2019/05/27;2455.48816
2019/05/28;2447.27973
2019/05/29;2432.88422
2019/05/30;2441.10292
2019/05/31;2417.3594
2019/06/03;2406.84936
2019/06/04;2432.40338
2019/06/05;2445.02349
2019/06/06;2448.93825
2019/06/07;2461.53752
2019/06/10;2478.83907
2019/06/11;2486.32583
2019/06/12;2477.83322
2019/06/13;2490.25662
2019/06/14;2493.14047
2019/06/17;2491.30983
2019/06/18;2524.48042
2019/06/19;2533.01705
2019/06/20;2542.97053
2019/06/21;2530.83443
2019/06/24;2515.94817
2019/06/25;2501.22079
2019/06/26;2497.93105
2019/06/27;2510.47877
2019/06/28;2518.40518
2019/07/01;2549.4161
2019/07/02;2562.62518
2019/07/03;2580.07393
2019/07/04;2583.69357
2019/07/05;2585.87
2019/07/08;2572.57507
2019/07/09;2572.4247
2019/07/10;2571.77317
2019/07/11;2577.64031
2019/07/12;2583.90987
2019/07/15;2585.36014
2019/07/16;2588.75993
2019/07/17;2576.4787
2019/07/18;2577.15687
2019/07/19;2574.70567
2019/07/22;2576.50691
2019/07/23;2606.02147
2019/07/24;2616.13148
2019/07/25;2601.25407
2019/07/26;2615.78914
2019/07/29;2610.35209
2019/07/30;2598.56017
2019/07/31;2581.73498
2019/08/01;2581.10598
2019/08/02;2540.98477
2019/08/05;2459.64976
2019/08/06;2470.90567
2019/08/07;2469.49076
2019/08/08;2510.68286
2019/08/09;2498.28163
2019/08/12;2475.18226
2019/08/13;2496.95292
2019/08/14;2455.63468
2019/08/15;2461.16465
2019/08/16;2490.52783
2019/08/19;2519.08993
2019/08/20;2508.71593
2019/08/21;2524.95897
2019/08/22;2522.03859
2019/08/23;2477.58194
2019/08/26;2483.54459
2019/08/27;2487.50079
2019/08/28;2500.81391
2019/08/29;2526.45964
2019/08/30;2549.51939
2019/09/02;2557.46912
2019/09/03;2545.74397
2019/09/04;2559.1915
2019/09/05;2585.95866
2019/09/06;2591.61059
2019/09/09;2590.07724
2019/09/10;2594.48314
2019/09/11;2623.73547
2019/09/12;2625.56523
